"выключи компьютер",0
"выключи компьютер пожалуйста",0
"можешь выключи компьютер",0
"нужно выключи компьютер",0
"так, давай выключи компьютер",0
"слушай, выключи компьютер",0
"заверши работу",0
"заверши работу пожалуйста",0
"можешь заверши работу",0
"нужно заверши работу",0
"так, давай заверши работу",0
"слушай, заверши работу",0
"выключи пк",0
"выключи пк пожалуйста",0
"можешь выключи пк",0
"нужно выключи пк",0
"так, давай выключи пк",0
"слушай, выключи пк",0
"погаси компьютер",0
"погаси компьютер пожалуйста",0
"можешь погаси компьютер",0
"нужно погаси компьютер",0
"так, давай погаси компьютер",0
"слушай, погаси компьютер",0
"отруби комп",0
"отруби комп пожалуйста",0
"можешь отруби комп",0
"нужно отруби комп",0
"так, давай отруби комп",0
"слушай, отруби комп",0
"завершение работы",0
"завершение работы пожалуйста",0
"можешь завершение работы",0
"нужно завершение работы",0
"так, давай завершение работы",0
"слушай, завершение работы",0
"выключить",0
"выключить пожалуйста",0
"можешь выключить",0
"нужно выключить",0
"так, давай выключить",0
"слушай, выключить",0
"хочу выключить компьютер",0
"хочу выключить компьютер пожалуйста",0
"можешь хочу выключить компьютер",0
"нужно хочу выключить компьютер",0
"так, давай хочу выключить компьютер",0
"слушай, хочу выключить компьютер",0
"давай выключай",0
"давай выключай пожалуйста",0
"можешь давай выключай",0
"нужно давай выключай",0
"так, давай давай выключай",0
"слушай, давай выключай",0
"выключи машину",0
"выключи машину пожалуйста",0
"можешь выключи машину",0
"нужно выключи машину",0
"так, давай выключи машину",0
"слушай, выключи машину",0
"системное выключение",0
"системное выключение пожалуйста",0
"можешь системное выключение",0
"нужно системное выключение",0
"так, давай системное выключение",0
"слушай, системное выключение",0
"пора спать",0
"пора спать пожалуйста",0
"можешь пора спать",0
"нужно пора спать",0
"так, давай пора спать",0
"слушай, пора спать",0
"перезагрузи компьютер",1
"перезагрузи компьютер пожалуйста",1
"можешь перезагрузи компьютер",1
"нужно перезагрузи компьютер",1
"так, давай перезагрузи компьютер",1
"слушай, перезагрузи компьютер",1
"перезагрузи пк",1
"перезагрузи пк пожалуйста",1
"можешь перезагрузи пк",1
"нужно перезагрузи пк",1
"так, давай перезагрузи пк",1
"слушай, перезагрузи пк",1
"рестарт",1
"рестарт пожалуйста",1
"можешь рестарт",1
"нужно рестарт",1
"так, давай рестарт",1
"слушай, рестарт",1
"перезагрузка",1
"перезагрузка пожалуйста",1
"можешь перезагрузка",1
"нужно перезагрузка",1
"так, давай перезагрузка",1
"слушай, перезагрузка",1
"перезапусти систему",1
"перезапусти систему пожалуйста",1
"можешь перезапусти систему",1
"нужно перезапусти систему",1
"так, давай перезапусти систему",1
"слушай, перезапусти систему",1
"хочу перезагрузить компьютер",1
"хочу перезагрузить компьютер пожалуйста",1
"можешь хочу перезагрузить компьютер",1
"нужно хочу перезагрузить компьютер",1
"так, давай хочу перезагрузить компьютер",1
"слушай, хочу перезагрузить компьютер",1
"давай перезагружай",1
